category,keyword,search_volume,cpc,competition
"Automotive, Dealerships & Spare Parts",ai answering service for auto repair,0,0.0,UNKNOWN
"Automotive, Dealerships & Spare Parts",dealership service booking ai,0,0.0,UNKNOWN
"Automotive, Dealerships & Spare Parts",auto parts catalog ai,0,0.0,UNKNOWN
"Automotive, Dealerships & Spare Parts",automotive ai receptionist,0,0.0,UNKNOWN
"Automotive, Dealerships & Spare Parts",car dealer ai bdc,0,0.0,UNKNOWN
"Automotive, Dealerships & Spare Parts",auto body shop ai answering,0,0.0,UNKNOWN
"Chemicals, Biotech & Pharmaceuticals",ai for pharma compliance,0,0.0,UNKNOWN
"Chemicals, Biotech & Pharmaceuticals",pharmaceutical manufacturing ai automation,0,0.0,UNKNOWN
"Chemicals, Biotech & Pharmaceuticals",regulatory compliance ai agent,0,0.0,UNKNOWN
"Chemicals, Biotech & Pharmaceuticals",chemical batch record automation ai,0,0.0,UNKNOWN
"Chemicals, Biotech & Pharmaceuticals",biotech regulatory automation ai,0,0.0,UNKNOWN
Food & Beverage & Hospitality,restaurant ai phone agent,0,0.0,UNKNOWN
Food & Beverage & Hospitality,restaurant reservation ai agent,0,0.0,UNKNOWN
Food & Beverage & Hospitality,food manufacturing ai automation,0,0.0,UNKNOWN
Food & Beverage & Hospitality,hospitality ai concierge agent,0,0.0,UNKNOWN
Retail & Fashion / Lifestyle,retail ai customer service agent,0,0.0,UNKNOWN
Retail & Fashion / Lifestyle,fashion ecommerce ai agent,0,0.0,UNKNOWN
Retail & Fashion / Lifestyle,ai shopping assistant for retail,0,0.0,UNKNOWN
Retail & Fashion / Lifestyle,ecommerce return automation ai,0,0.0,UNKNOWN
Retail & Fashion / Lifestyle,retail inventory replenishment ai,0,0.0,UNKNOWN
Agriculture & Farming,ai in agriculture automation,0,0.0,UNKNOWN
Agriculture & Farming,farming workflow automation ai,0,0.0,UNKNOWN
Agriculture & Farming,agritech ai automation,0,0.0,UNKNOWN
